Category,Location,Num_Clusters,Chi2_Stat,P_Value
ImageNet,australia,64,516.4450815657965,2.0320878435429662e-72
ImageNet,bermuda,10,789.0553422685301,3.808284138021212e-131
ImageNet,florida,53,2823.698835341831,0.0
ImageNet,french_polynesia,24,5760.581384507455,0.0
ImageNet,indonesia,35,1453.3478369360707,7.585707915618469e-284
ImageNet,kenya,10,18.86242561010418,0.02638840429839814
ReefCLR,australia,61,254.24184851489412,9.528436444213913e-26
ReefCLR,bermuda,8,1307.8796700359412,8.622587582484044e-247
ReefCLR,florida,48,2647.5200801691135,0.0
ReefCLR,french_polynesia,31,5820.833944602974,0.0
ReefCLR,indonesia,38,1459.2731083561273,1.1536526815867977e-282
ReefCLR,kenya,27,290.86924462335065,1.4038933208893831e-46
VGGish,australia,69,1574.0726350861323,6.953275471409616e-284
VGGish,bermuda,35,2439.335421975069,0.0
VGGish,florida,52,3568.1298596510605,0.0
VGGish,french_polynesia,34,7972.7095993731145,0.0
VGGish,indonesia,38,1970.6422477010246,0.0
VGGish,kenya,26,168.63503166944787,2.8573840974699543e-23
